table_name,company_id,year,reason
profitandloss,ULTRACEMCO,2013-03,Unknown company_id - not present in companies.id
profitandloss,ULTRACEMCO,2014-03,Unknown company_id - not present in companies.id
profitandloss,ULTRACEMCO,2015-03,Unknown company_id - not present in companies.id
profitandloss,ULTRACEMCO,2016-03,Unknown company_id - not present in companies.id
profitandloss,ULTRACEMCO,2017-03,Unknown company_id - not present in companies.id
profitandloss,ULTRACEMCO,2018-03,Unknown company_id - not present in companies.id
profitandloss,ULTRACEMCO,2019-03,Unknown company_id - not present in companies.id
profitandloss,ULTRACEMCO,2020-03,Unknown company_id - not present in companies.id
profitandloss,ULTRACEMCO,2021-03,Unknown company_id - not present in companies.id
profitandloss,ULTRACEMCO,2022-03,Unknown company_id - not present in companies.id
profitandloss,ULTRACEMCO,2023-03,Unknown company_id - not present in companies.id
profitandloss,ULTRACEMCO,2024-03,Unknown company_id - not present in companies.id
profitandloss,ULTRACEMCO,,Unknown company_id - not present in companies.id
profitandloss,UNIONBANK,2013-03,Unknown company_id - not present in companies.id
profitandloss,UNIONBANK,2014-03,Unknown company_id - not present in companies.id
profitandloss,UNIONBANK,2015-03,Unknown company_id - not present in companies.id
profitandloss,UNIONBANK,2016-03,Unknown company_id - not present in companies.id
profitandloss,UNIONBANK,2017-03,Unknown company_id - not present in companies.id
profitandloss,UNIONBANK,2018-03,Unknown company_id - not present in companies.id
profitandloss,UNIONBANK,2019-03,Unknown company_id - not present in companies.id
profitandloss,UNIONBANK,2020-03,Unknown company_id - not present in companies.id
profitandloss,UNIONBANK,2021-03,Unknown company_id - not present in companies.id
profitandloss,UNIONBANK,2022-03,Unknown company_id - not present in companies.id
profitandloss,UNIONBANK,2023-03,Unknown company_id - not present in companies.id
profitandloss,UNIONBANK,2024-03,Unknown company_id - not present in companies.id
profitandloss,UNIONBANK,,Unknown company_id - not present in companies.id
profitandloss,UNITDSPR,2013-03,Unknown company_id - not present in companies.id
profitandloss,UNITDSPR,2014-03,Unknown company_id - not present in companies.id
profitandloss,UNITDSPR,2015-03,Unknown company_id - not present in companies.id
profitandloss,UNITDSPR,2016-03,Unknown company_id - not present in companies.id
profitandloss,UNITDSPR,2017-03,Unknown company_id - not present in companies.id
profitandloss,UNITDSPR,2018-03,Unknown company_id - not present in companies.id
profitandloss,UNITDSPR,2019-03,Unknown company_id - not present in companies.id
profitandloss,UNITDSPR,2020-03,Unknown company_id - not present in companies.id
profitandloss,UNITDSPR,2021-03,Unknown company_id - not present in companies.id
profitandloss,UNITDSPR,2022-03,Unknown company_id - not present in companies.id
profitandloss,UNITDSPR,2023-03,Unknown company_id - not present in companies.id
profitandloss,UNITDSPR,2024-03,Unknown company_id - not present in companies.id
profitandloss,UNITDSPR,,Unknown company_id - not present in companies.id
profitandloss,VBL,2012-12,Unknown company_id - not present in companies.id
profitandloss,VBL,2013-12,Unknown company_id - not present in companies.id
profitandloss,VBL,2014-12,Unknown company_id - not present in companies.id
profitandloss,VBL,2015-12,Unknown company_id - not present in companies.id
profitandloss,VBL,2016-12,Unknown company_id - not present in companies.id
profitandloss,VBL,2017-12,Unknown company_id - not present in companies.id
profitandloss,VBL,2018-12,Unknown company_id - not present in companies.id
profitandloss,VBL,2019-12,Unknown company_id - not present in companies.id
profitandloss,VBL,2020-12,Unknown company_id - not present in companies.id
profitandloss,VBL,2021-12,Unknown company_id - not present in companies.id
profitandloss,VBL,2022-12,Unknown company_id - not present in companies.id
profitandloss,VBL,2023-12,Unknown company_id - not present in companies.id
profitandloss,VBL,,Unknown company_id - not present in companies.id
profitandloss,VEDL,2013-03,Unknown company_id - not present in companies.id
profitandloss,VEDL,2014-03,Unknown company_id - not present in companies.id
profitandloss,VEDL,2015-03,Unknown company_id - not present in companies.id
profitandloss,VEDL,2016-03,Unknown company_id - not present in companies.id
profitandloss,VEDL,2017-03,Unknown company_id - not present in companies.id
profitandloss,VEDL,2018-03,Unknown company_id - not present in companies.id
profitandloss,VEDL,2019-03,Unknown company_id - not present in companies.id
profitandloss,VEDL,2020-03,Unknown company_id - not present in companies.id
profitandloss,VEDL,2021-03,Unknown company_id - not present in companies.id
profitandloss,VEDL,2022-03,Unknown company_id - not present in companies.id
profitandloss,VEDL,2023-03,Unknown company_id - not present in companies.id
profitandloss,VEDL,2024-03,Unknown company_id - not present in companies.id
